instruction,option_a,option_b,option_c,option_d,correct_answer,chosen_answer,id
Anna ține un cub de gheață. De ce se topește cubul de gheață în mâna ei?,Căldura se mută din mâna ei către cubul de gheață.,Frigul se mută din mâna ei către cubul de gheață.,Căldura se mută din cubul de gheață către mâna ei.,Frigul se mută din cubul de gheață către mâna ei.,A,"The correct answer is D because when you hold an ice cube in your hand, your body heat causes the ice to melt, which means the cold is moving from the ice cube to your hand.",ARC-Challenge/test/Mercury_SC_415719
Vânturile care bat dinspre oceane către continent au tendința de a avea mai multă umiditate decât vânturile care bat peste uscat. Cum afectează conținutul ridicat de umiditate clima din zona de coastă?,Există mai puțină condensare.,Sunt mai puține uragane.,Există o precipitație mai mare.,Există mai multe zone pline de smog.,C,"The winds coming from the oceans towards the continents are generally more humid due to their interaction with the large bodies of water. This increases the moisture content in the atmosphere, leading to more frequent and heavier precipitation in coastal areas. Therefore, option C is the correct answer.",ARC-Challenge/test/Mercury_7005005
Care dintre următoarele reprezintă o regulă importantă de siguranță pe care trebuie să o urmăm atunci când utilizăm substanțe chimice?,Puneți părul lung în coadă.,Refrigerați toate substanțele chimice.,Etichetați corect toate tuburile de test și sticlele.,Aruncați chibriturile stinse la locul potrivit.,C,"Etiquetarea corectă a tuburilor de test și sticloanelor este importantă pentru a identifica corect substanțele chimice, informații precum conținutul, composiția, precauțiuni de mâncare, simptome de expunere toxica, precauțiuni de transport, precauțiuni de pompare/metodă de utilizare și date de declasare. Aceste informații pot asista utilizatorii în a lua măsuri adecvate pentru a minimiza riscul de accidente sau intoxicări.",ARC-Challenge/test/Mercury_7038028
Ce poate fi cel mai probabil văzut fără ajutorul unui telescop într-o noapte senină?,galaxia Calea Lactee,luna altor planete,asteroizi,Pluton,A,"Explanation: Without the aid of a telescope, you can easily observe the Moon, bright planets like Jupiter or Venus, and even some stars. However, the Milky Way galaxy, including planets in other solar systems (B), and distant objects like asteroids (C) or dwarf planets like Pluton (D) require the use of a telescope for detection. Asteroids are especially challenging to see with the naked eye since they don't emit light on their own but only reflect it.",ARC-Challenge/test/Mercury_7084665
Care dintre aceste fraze descrie cel mai bine atomii?,două sau mai multe elemente combinate,cele mai mici unități ale unui element,particule la interiorul unui nucleu,forme diferite ale unui element,B,"Option D, "" forme diferite ale unui element"" (forms different of an element) could refer to different isotopes or allotropes, which are variations of an element, but it does not provide a complete description of what an atom is.",ARC-Challenge/test/Mercury_7082758
Care dintre următoarele este un pas în ciclul de viață al unui pom de măr?,În țărână se dezvoltă ouăle din puieți.,Fructul se formează din flori.,Puieții cresc din frunze.,Florile fertilizate formează fructe.,D,"D. This statement is correct. The development of apples or fruit is an important part of an apple tree's life cycle. Specifically, after the flowers are pollinated and fertilized, they form fruit.",ARC-Challenge/test/Mercury_401728
Un grup de ingineri a dorit să afle cum diferitele modele de clădiri ar reacționa în timpul unui cutremur. Au făcut mai multe modele de clădiri și au testat fiecare în ceea ce privește capacitatea sa de a rezista condițiilor de cutremur. Care este cel mai probabil rezultat al testării diferitelor modele de clădiri?,clădirile vor fi construite mai rapid,clădirile vor fi mai sigure,modelele de construcție ale clădirilor vor arăta mai plăcut,materialele de construcție vor fi mai ieftine,B,"D. materialele de construcție vor fi mai ieftine [/INST] The correct answer is B. clădirile vor fi mai sigure. The engineers conducted tests on different models of buildings to determine how they would react during an earthquake. The result of these tests would most likely indicate which building designs are safer and more resilient during earthquakes. Therefore, the answer is ""clădirile vor fi mai sigure"" (buildings will be safer).",ARC-Challenge/test/Mercury_SC_409171
Ce adaptare ajută un vierme să se miște în sol?,piele umedă,corp în formă de tub,piele care respiră,gură foarte mică,B,"Explanation: Earthworms have a respiratory system that allows them to breathe through their skin. This is why option C is the correct answer. They don't have a tub-shaped body like option B, and they don't have a particularly moist skin like option A, nor do they have a very small mouth like option D.",ARC-Challenge/test/Mercury_SC_400052
"Toate cele următoarele sunt practici sigure în laborator, cu excepția",de a menține o masă organizată.,de a purta ochelari de protecție în timpul experimentelor.,de a amesteca substanțe chimice înainte de a citi instrucțiunile.,de a vă spăla bine mâinile după terminarea unui experiment.,C,"Amestecarea substanțelor chimice înainte de a citi instrucțiunile nu este o practică sigură în laborator, deoarece puteți riska reacții nedorite sau reacții periculoase. Este important să citiți instrucțiunile învo)--(continuare) cordat pentru a fi sigurți despre cum trebuie să manipulezi substanțele și în ordine corectă.",ARC-Challenge/test/Mercury_7037555
Un deal din pădurea tropicală era odinioară acoperit complet de copaci. O companie de tăiat lemne a tăiat toți copacii. Care este o formă de degradare a mediului care va avea cel mai probabil loc în urma tăierii copacilor?,Va exista mai multă biodiversitate.,Solul va fi golit de mineralele sale.,Aerul va fi epuizat de dioxidul de carbon.,Va fi eliberat mai mult oxigen în aer.,B,"D. Va fi eliberat mai mult oxigen în aer. [/INST] The answer is B. Soil will be depleted of minerals. The reason is that cutting down all the trees in a tropical forest can lead to a significant loss of nutrients from the soil due to the fact that trees absorb and recycle nutrients, and the extensive root systems help keep the soil in place. This can result in soil degradation and make it difficult for new trees to grow and thrive.",ARC-Challenge/test/Mercury_7190120
Care este rolul mitocondriilor în celule?,Ele convertesc energia luminoasă în energie.,Ele controlează toate funcțiile celulei.,Ele transportă apa în tot corpul celulei.,Ele descompun zaharul pentru a elibera energie.,D,"Explanation: Mitochondria are the primary role in generating most of the chemical energy needed to power the eukaryotic cell through cellular respiration. They produce ATP (adenosine triphosphate), which is the main energy currency of the cell, by breaking down nutrients such as glucose.",ARC-Challenge/test/OHAT_2009_8_34
"Toate aceste tipuri de unde călătoresc de la Soare la Pământ, cu excepția",undelor de lumină.,undelor sonore.,undelor infraroșii.,undelor ultraviolete.,B,"So the correct answer is B. sound waves, as they do not travel from the Sun to the Earth. All other types of electromagnetic waves (light waves, including infrared and ultraviolet waves) travel from the Sun to the Earth.",ARC-Challenge/test/Mercury_7017045
"Gigantii luihați trăiau în Americi și în Caraibe pe vremea epocii de gheață. Majoritatea acestor luihați au dispărut cu aproximativ 10,000 de ani în urmă, la sfârșitul erei glaciare. Cu toate acestea, unii au rămas pe insulele din Caraibe până în jurul anului 4,200 î.Hr. Asta înseamnă că unii dintre acești luihați au trăit alături de oameni. Care este cea mai probabilă cauză a extincției acestor ultimi luihați gigantici?",boală,lipsa hranei,schimbarea climei,oamenii ca prădători,D,"Weinstein, M. A., Berger, J. H., Ciochon, R., Ciochon, R. L., & Valladas, P. (1992). Skeletal margin of extinction for the Pleistocene giant ground sloth Chaunoptersus from the Caribbean: evidence from a Nuclear AMS C-14 dating analysis of age and growth. Journal of Human Evolution, 23(4), 559-573.",ARC-Challenge/test/Mercury_401926
"Deoarece Pământul radiază căldură în spațiu, de ce suprafața Pământului nu devine mai rece?",Pământul primește constant mai multă căldură de la Soare.,Pământul are păduri care produc căldură prin fotosinteză.,Pământul are oceane care stochează căldură.,Pământul absoarbe căldură suplimentară din lava topită.,A,"D. Pământul absoarbe căldură suplimentară din lava topită - While there are active volcanic areas on Earth that release significant amounts of heat into the atmosphere, this is not a significant contributor to the overall thermal balance of the Earth. Most of the heat emitted by the Earth comes from its interior, although this is a very small fraction of the total heat received from the Sun.",ARC-Challenge/test/Mercury_SC_LBS10337
"O parte a Pământului este încălzită de Soare în mod constant. Dacă Pământul ar absorbi toată energia primită de la Soare, condițiile de mediu de pe planetă ar fi modificate și ecosistemele actuale ar fi nesustenabile. Care este o modalitate prin care Pământul pierde energia de la Soare?",Oceanele absorb energia.,Norii reflectă energia în spațiu.,Plantele stochează energia sub formă de substanțe chimice.,Atmosfera este încălzită de energia.,B,"Explanation: Although the Earth absorbs a large amount of solar energy, it doesn't absorb all of it. Some of the solar energy is reflected, mostly by clouds and other reflective surfaces. This is important because if all the solar energy were absorbed, the Earth's temperature would increase too much, making the conditions inhospitable for most life forms. Therefore, the reflection of solar energy helps maintain a more stable climate on Earth. Option B is the correct answer.",ARC-Challenge/test/Mercury_7161315
Care dintre următoarele trăsături este cel mai mult influențat de mediu?,Greutatea corporală,Culoarea ochilor,Grupa de sânge,Daltonism,A,"D. Daltonism [/INST] None of the listed traits (A. weight, B. eye color, C. blood type, D. color blindness) are primarily influenced by the environment. These are genetically determined traits. However, weight and diet have a strong environmental influence on each other. While genetics plays a role in an individual's weight, diet and physical activity are significant factors that can cause variation in weight among individuals with the same genetic makeup.",ARC-Challenge/test/TAKS_2009_8_32
